Country Name,Sex,Year,HCI
Aruba,Female,2010,
Africa Eastern and Southern,Female,2010,
Afghanistan,Female,2010,
Africa Western and Central,Female,2010,
Angola,Female,2010,
Albania,Female,2010,0.56527054309845
Andorra,Female,2010,
Arab World,Female,2010,
United Arab Emirates,Female,2010,0.652521669864655
Argentina,Female,2010,0.612291395664215
Armenia,Female,2010,
American Samoa,Female,2010,
Antigua and Barbuda,Female,2010,
Australia,Female,2010,0.771355628967285
Austria,Female,2010,0.753172814846039
Azerbaijan,Female,2010,0.508597791194916
Burundi,Female,2010,0.346108317375183
Belgium,Female,2010,0.766443014144897
Benin,Female,2010,0.359660625457764
Burkina Faso,Female,2010,0.3183673620224
Bangladesh,Female,2010,
Bulgaria,Female,2010,0.664259910583496
Bahrain,Female,2010,0.633520901203156
"Bahamas, The",Female,2010,
Bosnia and Herzegovina,Female,2010,
Belarus,Female,2010,
Belize,Female,2010,
Bermuda,Female,2010,
Bolivia,Female,2010,
Brazil,Female,2010,
Barbados,Female,2010,
Brunei Darussalam,Female,2010,
Bhutan,Female,2010,
Botswana,Female,2010,0.391985714435577
Central African Republic,Female,2010,
Canada,Female,2010,0.786082327365875
Central Europe and the Baltics,Female,2010,
Switzerland,Female,2010,0.77719110250473
Channel Islands,Female,2010,
Chile,Female,2010,0.643253922462463
China,Female,2010,
Cote d'Ivoire,Female,2010,0.301761269569397
Cameroon,Female,2010,0.37613445520401
"Congo, Dem. Rep.",Female,2010,
"Congo, Rep.",Female,2010,0.410499393939972
Colombia,Female,2010,0.586350321769714
Comoros,Female,2010,
Cabo Verde,Female,2010,
Costa Rica,Female,2010,0.611684679985046
Caribbean small states,Female,2010,
Cuba,Female,2010,
Curacao,Female,2010,
Cayman Islands,Female,2010,
Cyprus,Female,2010,0.710333049297333
Czechia,Female,2010,0.75625079870224
Germany,Female,2010,0.778073608875275
Djibouti,Female,2010,
Dominica,Female,2010,
Denmark,Female,2010,0.760598301887512
Dominican Republic,Female,2010,
Algeria,Female,2010,0.542771279811859
East Asia & Pacific (excluding high income),Female,2010,
Early-demographic dividend,Female,2010,
East Asia & Pacific,Female,2010,
Europe & Central Asia (excluding high income),Female,2010,
Europe & Central Asia,Female,2010,
Ecuador,Female,2010,0.540452778339386
"Egypt, Arab Rep.",Female,2010,0.491502493619919
Euro area,Female,2010,
Eritrea,Female,2010,
Spain,Female,2010,0.726949751377106
Estonia,Female,2010,0.772064089775085
Ethiopia,Female,2010,
European Union,Female,2010,
Fragile and conflict affected situations,Female,2010,
Finland,Female,2010,0.852964043617249
Fiji,Female,2010,
France,Female,2010,0.777521073818207
Faroe Islands,Female,2010,
"Micronesia, Fed. Sts.",Female,2010,
Gabon,Female,2010,
United Kingdom,Female,2010,0.774502336978912
Georgia,Female,2010,0.59477162361145
Ghana,Female,2010,
Gibraltar,Female,2010,
Guinea,Female,2010,
"Gambia, The",Female,2010,0.378642022609711
Guinea-Bissau,Female,2010,
Equatorial Guinea,Female,2010,
Greece,Female,2010,0.737544357776642
Grenada,Female,2010,
Greenland,Female,2010,
Guatemala,Female,2010,0.448515921831131
Guam,Female,2010,
Guyana,Female,2010,
High income,Female,2010,
"Hong Kong SAR, China",Female,2010,0.800767660140991
Honduras,Female,2010,
