Country Name,Sex,Year,HCI
Albania,Female,2010,0.56527054309845
United Arab Emirates,Female,2010,0.652521669864655
Argentina,Female,2010,0.612291395664215
Australia,Female,2010,0.771355628967285
Austria,Female,2010,0.753172814846039
Azerbaijan,Female,2010,0.508597791194916
Burundi,Female,2010,0.346108317375183
Belgium,Female,2010,0.766443014144897
Benin,Female,2010,0.359660625457764
Burkina Faso,Female,2010,0.3183673620224
Bulgaria,Female,2010,0.664259910583496
Bahrain,Female,2010,0.633520901203156
Botswana,Female,2010,0.391985714435577
Canada,Female,2010,0.786082327365875
Switzerland,Female,2010,0.77719110250473
Chile,Female,2010,0.643253922462463
Cote d'Ivoire,Female,2010,0.301761269569397
Cameroon,Female,2010,0.37613445520401
"Congo, Rep.",Female,2010,0.410499393939972
Colombia,Female,2010,0.586350321769714
Costa Rica,Female,2010,0.611684679985046
Cyprus,Female,2010,0.710333049297333
Czechia,Female,2010,0.75625079870224
Germany,Female,2010,0.778073608875275
Denmark,Female,2010,0.760598301887512
Algeria,Female,2010,0.542771279811859
Ecuador,Female,2010,0.540452778339386
"Egypt, Arab Rep.",Female,2010,0.491502493619919
Spain,Female,2010,0.726949751377106
Estonia,Female,2010,0.772064089775085
Finland,Female,2010,0.852964043617249
France,Female,2010,0.777521073818207
United Kingdom,Female,2010,0.774502336978912
Georgia,Female,2010,0.59477162361145
"Gambia, The",Female,2010,0.378642022609711
Greece,Female,2010,0.737544357776642
Guatemala,Female,2010,0.448515921831131
"Hong Kong SAR, China",Female,2010,0.800767660140991
Croatia,Female,2010,0.735488772392273
Hungary,Female,2010,0.725106477737427
Indonesia,Female,2010,0.510594189167023
Ireland,Female,2010,0.790237247943878
"Iran, Islamic Rep.",Female,2010,0.577054619789124
Iceland,Female,2010,0.772066056728363
Israel,Female,2010,0.7412348985672
Italy,Female,2010,0.767416477203369
Jordan,Female,2010,0.585698187351227
Kazakhstan,Female,2010,0.628996968269348
"Korea, Rep.",Female,2010,0.850352644920349
Kuwait,Female,2010,0.604347944259644
Lesotho,Female,2010,0.360403001308441
Lithuania,Female,2010,0.752927780151367
Luxembourg,Female,2010,0.718162536621094
Latvia,Female,2010,0.728277862071991
"Macao SAR, China",Female,2010,0.67076313495636
Morocco,Female,2010,0.473682910203934
Moldova,Female,2010,0.581561088562012
Madagascar,Female,2010,0.396376132965088
Mexico,Female,2010,0.604089438915253
North Macedonia,Female,2010,0.548776090145111
Malta,Female,2010,0.713866949081421
Montenegro,Female,2010,0.60563451051712
Mauritius,Female,2010,0.621907472610474
Malawi,Female,2010,0.376364469528198
Malaysia,Female,2010,0.607167363166809
Namibia,Female,2010,0.405374109745026
Netherlands,Female,2010,0.80491441488266
Norway,Female,2010,0.789397835731506
New Zealand,Female,2010,0.801813781261444
Oman,Female,2010,0.5806525349617
Panama,Female,2010,0.534742176532745
Peru,Female,2010,0.559419393539429
Portugal,Female,2010,0.764939963817596
Paraguay,Female,2010,0.521709263324738
Qatar,Female,2010,0.610203802585602
Romania,Female,2010,0.633587181568146
Saudi Arabia,Female,2010,0.561245560646057
Senegal,Female,2010,0.397871762514114
Singapore,Female,2010,0.862445950508118
Serbia,Female,2010,0.668373823165894
Slovak Republic,Female,2010,0.713130354881287
